antecedents,consequents,support,confidence,lift
"fico_range_low_bin_High, loan_status_Fully Paid","term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)",0.058,0.391,2.439
"term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, loan_status_Fully Paid",0.058,0.363,2.439
"grade_A, home_ownership_MORTGAGE","last_fico_range_low_bin_High, term_ 36 months",0.063,0.589,2.438
"fico_range_low_bin_High, loan_status_Fully Paid","term_ 36 months, int_rate_bin_Very Low (<8%)",0.058,0.392,2.438
"last_fico_range_low_bin_High, term_ 36 months","grade_A, home_ownership_MORTGAGE",0.063,0.262,2.438
"term_ 36 months, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, loan_status_Fully Paid",0.058,0.363,2.438
"last_fico_range_low_bin_High, home_ownership_MORTGAGE","grade_A, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.051,0.288,2.433
"grade_A, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.435,2.433
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.435,2.432
"last_fico_range_low_bin_High, home_ownership_MORTGAGE","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.051,0.288,2.432
grade_A,"last_fico_range_low_bin_High, term_ 36 months",0.112,0.583,2.417
"last_fico_range_low_bin_High, term_ 36 months",grade_A,0.112,0.463,2.417
"last_fico_range_low_bin_High, term_ 36 months","grade_A, loan_status_Current",0.05,0.209,2.417
"fico_range_low_bin_High, dti_bin_Low (10-20)",grade_A,0.059,0.463,2.415
grade_A,"fico_range_low_bin_High, dti_bin_Low (10-20)",0.059,0.307,2.415
"last_fico_range_low_bin_High, term_ 36 months","dti_bin_Low (10-20), grade_A",0.051,0.211,2.413
"grade_A, fico_range_low_bin_High","last_fico_range_low_bin_High, home_ownership_MORTGAGE",0.056,0.428,2.395
"last_fico_range_low_bin_High, home_ownership_MORTGAGE","grade_A, fico_range_low_bin_High",0.056,0.314,2.395
"grade_A, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, loan_status_Fully Paid",0.06,0.355,2.383
"fico_range_low_bin_High, loan_status_Fully Paid","grade_A, int_rate_bin_Very Low (<8%)",0.06,0.402,2.383
int_rate_bin_Very Low (<8%),"fico_range_low_bin_High, loan_status_Fully Paid",0.06,0.354,2.38
"fico_range_low_bin_High, loan_status_Fully Paid",int_rate_bin_Very Low (<8%),0.06,0.402,2.38
"fico_range_low_bin_High, dti_bin_Low (10-20)","term_ 36 months, grade_A",0.055,0.43,2.377
loan_status_Charged Off,"term_ 36 months, last_fico_range_low_bin_Low",0.069,0.585,2.375
"fico_range_low_bin_High, loan_status_Fully Paid","term_ 36 months, grade_A",0.064,0.429,2.371
"term_ 36 months, grade_A","fico_range_low_bin_High, loan_status_Fully Paid",0.064,0.353,2.371
"fico_range_low_bin_High, home_ownership_MORTGAGE","grade_A, int_rate_bin_Very Low (<8%)",0.069,0.395,2.34
"grade_A, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, home_ownership_MORTGAGE",0.069,0.408,2.34
"fico_range_low_bin_High, home_ownership_MORTGAGE",int_rate_bin_Very Low (<8%),0.069,0.395,2.337
int_rate_bin_Very Low (<8%),"fico_range_low_bin_High, home_ownership_MORTGAGE",0.069,0.408,2.337
"last_fico_range_low_bin_High, home_ownership_MORTGAGE","term_ 36 months, fico_range_low_bin_High, grade_A",0.051,0.287,2.336
grade_A,"fico_range_low_bin_High, loan_status_Fully Paid",0.066,0.345,2.317
"fico_range_low_bin_High, loan_status_Fully Paid",grade_A,0.066,0.444,2.317
"fico_range_low_bin_High, home_ownership_MORTGAGE","term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)",0.064,0.366,2.283
"fico_range_low_bin_High, home_ownership_MORTGAGE","term_ 36 months, int_rate_bin_Very Low (<8%)",0.064,0.366,2.281
"grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.069,0.723,2.274
fico_range_low_bin_High,"grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.069,0.217,2.274
"fico_range_low_bin_High, home_ownership_MORTGAGE",grade_A,0.076,0.435,2.273
grade_A,"fico_range_low_bin_High, home_ownership_MORTGAGE",0.076,0.397,2.273
"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.069,0.722,2.272
fico_range_low_bin_High,"grade_A, loan_status_Current, int_rate_bin_Very Low (<8%)",0.055,0.172,2.272
"grade_A, loan_status_Current, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.055,0.722,2.272
fico_range_low_bin_High,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.069,0.217,2.272
"loan_status_Current, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.055,0.721,2.27
fico_range_low_bin_High,"loan_status_Current, int_rate_bin_Very Low (<8%)",0.055,0.172,2.27
"fico_range_low_bin_High, loan_status_Current","grade_A, int_rate_bin_Very Low (<8%)",0.055,0.383,2.267
"grade_A, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, loan_status_Current",0.055,0.324,2.267
"fico_range_low_bin_High, loan_status_Current",int_rate_bin_Very Low (<8%),0.055,0.383,2.265
int_rate_bin_Very Low (<8%),"fico_range_low_bin_High, loan_status_Current",0.055,0.324,2.265
fico_range_low_bin_High,"term_ 36 months, home_ownership_MORTGAGE, grade_A, int_rate_bin_Very Low (<8%)",0.064,0.201,2.249
fico_range_low_bin_High,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.064,0.201,2.248
last_fico_range_low_bin_High,"grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.051,0.154,2.241
"grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.051,0.747,2.241
"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.051,0.747,2.24
last_fico_range_low_bin_High,"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.155,2.24
fico_range_low_bin_High,"grade_A, home_ownership_MORTGAGE",0.076,0.239,2.226
"grade_A, home_ownership_MORTGAGE",fico_range_low_bin_High,0.076,0.707,2.226
int_rate_bin_Very High (>20%),term_ 60 months,0.05,0.64,2.224
term_ 60 months,int_rate_bin_Very High (>20%),0.05,0.175,2.224
grade_A,"fico_range_low_bin_High, loan_status_Current",0.061,0.318,2.222
"fico_range_low_bin_High, loan_status_Current",grade_A,0.061,0.426,2.222
"grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High",last_fico_range_low_bin_High,0.056,0.739,2.218
last_fico_range_low_bin_High,"grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High",0.056,0.169,2.218
fico_range_low_bin_High,"grade_A, loan_status_Current",0.061,0.192,2.215
"grade_A, loan_status_Current",fico_range_low_bin_High,0.061,0.704,2.215
"fico_range_low_bin_High, home_ownership_MORTGAGE","term_ 36 months, grade_A",0.07,0.4,2.21
"grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.118,0.702,2.207
fico_range_low_bin_High,"grade_A, int_rate_bin_Very Low (<8%)",0.118,0.373,2.207
"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months, loan_status_Fully Paid",0.055,0.328,2.205
fico_range_low_bin_High,int_rate_bin_Very Low (<8%),0.118,0.373,2.205
int_rate_bin_Very Low (<8%),fico_range_low_bin_High,0.118,0.701,2.205
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.087,0.734,2.203
last_fico_range_low_bin_High,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.087,0.261,2.203
last_fico_range_low_bin_High,"grade_A, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.087,0.261,2.203
"grade_A, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.087,0.734,2.203
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, loan_status_Fully Paid",0.055,0.327,2.202
last_fico_range_low_bin_High,"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High, grade_A",0.051,0.154,2.201
fico_range_low_bin_High,"term_ 36 months, home_ownership_MORTGAGE, grade_A",0.07,0.22,2.199
last_fico_range_low_bin_High,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.244,2.191
last_fico_range_low_bin_High,"term_ 36 months, fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)",0.081,0.244,2.191
fico_range_low_bin_High,"term_ 36 months, loan_status_Current, grade_A",0.055,0.172,2.188
fico_range_low_bin_High,"term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)",0.111,0.351,2.185
fico_range_low_bin_High,"term_ 36 months, int_rate_bin_Very Low (<8%)",0.111,0.351,2.184
last_fico_range_low_bin_High,"grade_A, fico_range_low_bin_High",0.095,0.286,2.18
"grade_A, fico_range_low_bin_High",last_fico_range_low_bin_High,0.095,0.726,2.18
fico_range_low_bin_High,"grade_A, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.06,0.188,2.174
fico_range_low_bin_High,"int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.06,0.189,2.171
last_fico_range_low_bin_High,"term_ 36 months, fico_range_low_bin_High, grade_A",0.089,0.266,2.165
fico_range_low_bin_High,"grade_A, dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",0.053,0.168,2.165
fico_range_low_bin_High,"dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",0.053,0.168,2.163
fico_range_low_bin_High,"loan_status_Fully Paid, term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)",0.058,0.183,2.162
fico_range_low_bin_High,"term_ 36 months, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.058,0.183,2.16
fico_range_low_bin_High,grade_A,0.131,0.413,2.157
grade_A,fico_range_low_bin_High,0.131,0.686,2.157
"last_fico_range_low_bin_High, home_ownership_MORTGAGE, loan_status_Current",fico_range_low_bin_High,0.051,0.68,2.138
fico_range_low_bin_High,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, loan_status_Current",0.051,0.16,2.138
grade_A,"last_fico_range_low_bin_High, term_ 36 months, loan_status_Fully Paid",0.061,0.318,2.137
fico_range_low_bin_High,"term_ 36 months, grade_A",0.123,0.386,2.134
fico_range_low_bin_High,"grade_A, loan_status_Fully Paid",0.066,0.208,2.128
fico_range_low_bin_High,"grade_A, dti_bin_Low (10-20)",0.059,0.185,2.112
fico_range_low_bin_High,"term_ 36 months, grade_A, loan_status_Fully Paid",0.064,0.201,2.112
"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, loan_status_Current",0.05,0.299,2.098
"last_fico_range_low_bin_High, loan_status_Current","grade_A, int_rate_bin_Very Low (<8%)",0.05,0.354,2.098
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, loan_status_Current",0.05,0.299,2.096
"last_fico_range_low_bin_High, loan_status_Current",int_rate_bin_Very Low (<8%),0.05,0.354,2.096
fico_range_low_bin_High,"term_ 36 months, dti_bin_Low (10-20), grade_A",0.055,0.172,2.087
fico_range_low_bin_High,"last_fico_range_low_bin_High, term_ 36 months, loan_status_Current",0.06,0.189,2.069
"last_fico_range_low_bin_High, term_ 36 months, loan_status_Current",fico_range_low_bin_High,0.06,0.658,2.069
"fico_range_low_bin_High, loan_status_Fully Paid","last_fico_range_low_bin_High, home_ownership_MORTGAGE",0.055,0.369,2.068
"last_fico_range_low_bin_High, home_ownership_MORTGAGE","fico_range_low_bin_High, loan_status_Fully Paid",0.055,0.308,2.068
"last_fico_range_low_bin_High, home_ownership_MORTGAGE","grade_A, int_rate_bin_Very Low (<8%)",0.062,0.349,2.067
"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, home_ownership_MORTGAGE",0.062,0.369,2.067
grade_A,"last_fico_range_low_bin_High, loan_status_Current",0.056,0.294,2.065
"last_fico_range_low_bin_High, loan_status_Current",grade_A,0.056,0.395,2.065
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, home_ownership_MORTGAGE",0.062,0.369,2.064
"last_fico_range_low_bin_High, home_ownership_MORTGAGE",int_rate_bin_Very Low (<8%),0.062,0.349,2.064
"fico_range_low_bin_High, loan_status_Fully Paid","last_fico_range_low_bin_High, term_ 36 months",0.074,0.496,2.053
"last_fico_range_low_bin_High, term_ 36 months","fico_range_low_bin_High, loan_status_Fully Paid",0.074,0.306,2.053
"fico_range_low_bin_High, home_ownership_MORTGAGE","last_fico_range_low_bin_High, loan_status_Current",0.051,0.292,2.048
"last_fico_range_low_bin_High, loan_status_Current","fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.357,2.048
"last_fico_range_low_bin_High, loan_status_Current",fico_range_low_bin_High,0.092,0.644,2.026
fico_range_low_bin_High,"last_fico_range_low_bin_High, loan_status_Current",0.092,0.289,2.026
"last_fico_range_low_bin_High, dti_bin_Low (10-20)",grade_A,0.055,0.388,2.023
grade_A,"last_fico_range_low_bin_High, dti_bin_Low (10-20)",0.055,0.286,2.023
"last_fico_range_low_bin_High, home_ownership_MORTGAGE","term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)",0.058,0.324,2.018
"last_fico_range_low_bin_High, home_ownership_MORTGAGE","term_ 36 months, int_rate_bin_Very Low (<8%)",0.058,0.324,2.016
grade_A,"last_fico_range_low_bin_High, home_ownership_MORTGAGE",0.069,0.359,2.011
"last_fico_range_low_bin_High, home_ownership_MORTGAGE",grade_A,0.069,0.385,2.011
