antecedents,consequents,support,confidence,lift
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE",0.062,0.369,5.357
"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE",int_rate_bin_Very Low (<8%),0.062,0.906,5.357
"term_ 36 months, grade_A","home_ownership_RENT, int_rate_bin_Very Low (<8%)",0.052,0.29,5.352
"home_ownership_RENT, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.052,0.969,5.352
"grade_A, loan_status_Fully Paid","term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.058,0.597,5.351
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, grade_A, loan_status_Fully Paid",0.057,0.336,5.349
"last_fico_range_low_bin_High, grade_A, loan_status_Fully Paid",int_rate_bin_Very Low (<8%),0.057,0.904,5.349
"grade_A, loan_status_Current","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.055,0.633,5.342
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","grade_A, loan_status_Current",0.055,0.462,5.342
"grade_A, home_ownership_MORTGAGE","term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.064,0.595,5.34
int_rate_bin_Very Low (<8%),"grade_A, fico_range_low_bin_High",0.118,0.7,5.334
"grade_A, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.118,0.902,5.334
"installment_bin_Low, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.056,0.964,5.328
"term_ 36 months, grade_A","installment_bin_Low, int_rate_bin_Very Low (<8%)",0.056,0.309,5.328
"last_fico_range_low_bin_High, grade_A",int_rate_bin_Very Low (<8%),0.108,0.9,5.324
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, grade_A",0.108,0.637,5.324
int_rate_bin_Very Low (<8%),"grade_A, loan_status_Current, fico_range_low_bin_High",0.055,0.324,5.317
"last_fico_range_low_bin_High, grade_A, fico_range_low_bin_High","term_ 36 months, int_rate_bin_Very Low (<8%)",0.081,0.853,5.312
"grade_A, home_ownership_MORTGAGE","last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",0.058,0.539,5.309
