,antecedents,consequents,support,confidence,lift
1111,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.081,0.803,6.111
313,"term_ 36 months, grade_D",int_rate_bin_High (16-20%),0.065,0.802,4.846
265,"loan_status_Fully Paid, int_rate_bin_Medium (12-16%)",grade_C,0.117,0.802,2.787
125,"last_fico_range_low_bin_High, grade_A",fico_range_low_bin_High,0.095,0.798,2.509
321,"last_fico_range_low_bin_Low, grade_D",int_rate_bin_High (16-20%),0.059,0.796,4.814
317,"home_ownership_MORTGAGE, grade_D",int_rate_bin_High (16-20%),0.051,0.795,4.805
509,"last_fico_range_low_bin_High, term_ 36 months, grade_A",fico_range_low_bin_High,0.089,0.793,2.494
325,"fico_range_low_bin_Low, grade_D",int_rate_bin_High (16-20%),0.064,0.793,4.79
29,grade_D,int_rate_bin_High (16-20%),0.114,0.792,4.787
657,"loan_status_Fully Paid, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.115,0.787,3.328
675,"home_ownership_RENT, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.089,0.787,3.325
839,"term_ 36 months, loan_status_Fully Paid, int_rate_bin_Medium (12-16%)",grade_C,0.087,0.784,2.726
674,"grade_B, home_ownership_RENT","term_ 36 months, int_rate_bin_Low (8-12%)",0.089,0.781,3.272
1183,"loan_status_Fully Paid, dti_bin_Low (10-20), int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.051,0.78,3.298
682,"last_fico_range_low_bin_Low, grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.066,0.778,3.263
659,"loan_status_Fully Paid, grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.115,0.767,3.215
1182,"loan_status_Fully Paid, dti_bin_Low (10-20), grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.051,0.759,3.181
1104,"last_fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.081,0.756,3.38
981,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.081,0.756,3.378
1118,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High, grade_A",0.081,0.756,6.155
691,"last_fico_range_low_bin_Medium, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.075,0.755,3.191
690,"grade_B, last_fico_range_low_bin_Medium","term_ 36 months, int_rate_bin_Low (8-12%)",0.075,0.753,3.158
715,"int_rate_bin_Low (8-12%), fico_range_low_bin_Medium","term_ 36 months, grade_B",0.067,0.752,3.177
1199,"loan_status_Fully Paid, home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.056,0.748,3.163
1157,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.051,0.748,6.314
1153,"fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.051,0.747,2.241
994,"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.051,0.747,2.24
1163,"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.051,0.746,6.241
1131,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A","term_ 36 months, fico_range_low_bin_High",0.051,0.744,3.327
513,"last_fico_range_low_bin_High, grade_A","term_ 36 months, fico_range_low_bin_High",0.089,0.741,3.31
620,"fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A",last_fico_range_low_bin_High,0.056,0.739,2.218
1198,"loan_status_Fully Paid, home_ownership_MORTGAGE, grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.056,0.736,3.085
607,"fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.087,0.734,2.203
360,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.087,0.734,2.203
612,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.087,0.734,6.136
1129,"term_ 36 months, fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A",last_fico_range_low_bin_High,0.051,0.734,2.201
1101,"term_ 36 months, fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.081,0.73,2.191
978,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",last_fico_range_low_bin_High,0.081,0.73,2.191
1112,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.081,0.73,6.104
1108,"last_fico_range_low_bin_High, term_ 36 months, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.728,6.147
714,"grade_B, fico_range_low_bin_Medium","term_ 36 months, int_rate_bin_Low (8-12%)",0.067,0.728,3.051
609,"last_fico_range_low_bin_High, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.087,0.727,6.136
126,"fico_range_low_bin_High, grade_A",last_fico_range_low_bin_High,0.095,0.726,2.18
594,"home_ownership_MORTGAGE, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.069,0.723,2.274
643,"dti_bin_Medium (20-30), int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.061,0.722,3.053
355,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.069,0.722,2.272
156,grade_B,"term_ 36 months, int_rate_bin_Low (8-12%)",0.212,0.722,3.028
